,cluster_id,cluster_name,title,total_price,condition,details,num_images,target
9,0,panzer dragoon saga," Panzer Dragoon (Sega Saturn, 1995)  ",36.44,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,1
10,0,panzer dragoon saga, Panzer Dragoon II Zwei (Sega Saturn)  ,39.99,  Like New ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2,1
13,0,panzer dragoon saga, SEGA SATURN PANZER DRAGOON SAGA COMPLETE 4 DISK GAME W/ CASE &amp; MANUAL  ,436.44,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,1
26,0,panzer dragoon saga," Panzer Dragoon Saga Complete (Sega Saturn, 1998)  ",322.45,  Like New ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",4,1
36,0,panzer dragoon saga," Panzer Dragoon Saga (Sega Saturn, 1998)  ",376.45,  Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",5,1
38,0,panzer dragoon saga, Panzer Dragoon 2 Zwei (With Original Case but Only Front of Manual) Sega Saturn  ,43.46,  Acceptable ,,4,1
46,0,panzer dragoon saga, Panzer Dragoon Saga  ,326.45,  Very Good ,,1,1
53,0,panzer dragoon saga,"   Panzer Dragoon (Sega Saturn, 1995) COMPLETE, Very Good Condition! ",51.4,  Very Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",3,1
68,0,panzer dragoon saga, Panzer Dragoon Saga (Sega Saturn Game) - Near Mint Condition  ,341.95,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",6,1
74,0,panzer dragoon saga," Panzer Dragoon II Zwei (Sega Saturn) Disc - excellent, Instructions- excellent  ",54.76,  Acceptable ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2,1
110,0,panzer dragoon saga," Panzer Dragoon (Sega Saturn, 1995)  ",31.45,  Like New ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",2,1
113,0,panzer dragoon saga," Panzer Dragoon Saga (Sega Saturn, 1998) Complete 4-Disc Video Game with Case  ",366.45,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",8,1
135,0,panzer dragoon saga," Panzer Dragoon Saga (Sega Saturn, 1998)  ",381.45,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,1
157,0,panzer dragoon saga," Panzer Dragoon Saga (Sega Saturn, 1998)  ",256.45,  Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",2,1
179,0,panzer dragoon saga, PANZER DRAGOON II 2 ZWEI Game COMPLETE for Sega Saturn MINT RARE Dragon  ,58.44,  Like New ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",4,1
183,0,panzer dragoon saga,   Panzer Dragoon Zwei II 2 Sega Saturn Video Game ,51.44,  Very Good ,,4,1
184,0,panzer dragoon saga, Panzer Dragoon Saga RPG for Sega Saturn complete good condition  ,296.45,  Good ,,4,1
221,0,panzer dragoon saga," Panzer Dragoon Saga (Sega Saturn, 1998)  ",243.52,  Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",2,1
223,0,panzer dragoon saga, SEGA SATURN MEGA MAN X4 - COMPLETE  ,117.44,  Like New ,"              In Mega Man X4, under the command of Sigma, General and Colonel have encouraged Repliforce to riot. Repliforce is on a rampage and are destroying Maverick Hunter establishments. Their overall plan is to eliminate the human race by building a weapon of mass destruction and using it to blow up Earth.<br><br>The major difference in this game from previous installments of the series is that you can play as either Mega Man X or Zero for the complete game. Differences when playing with each character include sidekicks, dialogue, and slight story changes. Gameplay is also different as Mega Man X can shoot enemies from a distance while Zero uses a sword and must fight at close range. ",1,1
228,0,panzer dragoon saga, Panzer Dragoon II 2 Zwei Sega Saturn complete CIB (NTSC) DISC NM 1DAYSHIP  ,55.44,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,1
239,0,panzer dragoon saga,   Panzer Dragoon II Zwei (Sega Saturn) ,58.15,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,0
241,0,panzer dragoon saga,   Panzer Dragoon II Zwei - Sega Saturn - RARE ,28.99,  Good ,,1,0
242,0,panzer dragoon saga,   Panzer Dragoon II Zwei (Sega Saturn) ,27.5,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,0
245,0,panzer dragoon saga,   Panzer Dragoon 2 II Zwei (Sega Saturn)--Disc Only! ,27.0,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,0
251,0,panzer dragoon saga,"   Panzer Dragoon II Zwei (Sega Saturn,1996) *Classic Series*RARE* ",28.44,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2,0
253,0,panzer dragoon saga,   Panzer Dragoon 2 Zwei (Sega Saturn) Tested but Disk Only ,32.31,  Good ,,2,0
260,0,panzer dragoon saga,"   Panzer Dragoon  (Sega Saturn, 1995) FREE SHIPPING IN USA ",45.0,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,0
270,0,panzer dragoon saga,   Panzer Dragoon II Zwei - Sega Saturn - RARE ,27.99,  Good ,,1,0
276,0,panzer dragoon saga,"   Panzer Dragoon Saga - Disks Only (Sega Saturn, 1998) ",315.0,  Acceptable ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,0
285,0,panzer dragoon saga,   Panzer Dragoon Saga  (Sega Saturn) COMPLETE Nice Condition Rare 1DAYSHIP FREE ,399.99,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,0
286,0,panzer dragoon saga,"   PANZER DRAGOON 1 for Sega Saturn, Complete w/Foam, CIB, Tested ",48.99,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,0
297,0,panzer dragoon saga,   PANZER DRAGOON SAGA - SEGA SATURN - COMPLETE CIB PERFECT EXTREMELY RARE ,359.44,  Like New ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",8,0
307,0,panzer dragoon saga,"   Panzer Dragoon (Sega Saturn, 1995) disc only  ",17.98,Not Specified,,1,0
310,0,panzer dragoon saga,"   Panzer Dragoon Saga - Disks Only (Sega Saturn, 1998) ",315.0,  Acceptable ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,0
316,0,panzer dragoon saga,   Panzer Dragoon Saga  (Sega Saturn) COMPLETE Nice Condition Rare 1DAYSHIP FREE ,406.44,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,0
