,title,total_price,condition,details,num_images
1, Dragon Force (Sega Saturn) Working Designs awesome condition!  ,125.0,  Very Good ,"              Dragon Force is set in the fantasy land of Legendra which has been taken over by the evil Madruk. Legendra's only hope rests on the shoulders of one of eight warlords. You must choose one of those eight to play as and unite an army in order to overthrow Madruk's reign. There are multiple endings in Dragon Force as each one of the eight characters has their own storyline. Battles take place in real time and can consist of up to 200 warriors battling onscreen at once. While attacking and capturing enemy land and castles, you must also defend your own lands from enemy invaders. Armies can be made up of such warriors as archers, dragons, zombies, or samurai. Each army has a general who is capable of using magic during battles. ",7
2, Guardian Heroes Sega Saturn Video Game  ,99.99,  Very Good ,,5
3, Sega Saturn Dragon Force 100% Complete T-12703H  ,130.0,  Like New ,,6
4, Shining the Holy Ark - Sega Saturn - COMPLETE Original Case &amp; Manual  ,96.99,  Very Good ,,1
5, Sega Saturn Sonic Jam With Original Case  ,46.99,  Acceptable ,,1
6, Mega Man X4 FOR SEGA SATURN VGC COMPLETE CIB Megaman TESTED/GUARANTEED VERY NICE  ,148.93,  Very Good ,"              In Mega Man X4, under the command of Sigma, General and Colonel have encouraged Repliforce to riot. Repliforce is on a rampage and are destroying Maverick Hunter establishments. Their overall plan is to eliminate the human race by building a weapon of mass destruction and using it to blow up Earth.<br><br>The major difference in this game from previous installments of the series is that you can play as either Mega Man X or Zero for the complete game. Differences when playing with each character include sidekicks, dialogue, and slight story changes. Gameplay is also different as Mega Man X can shoot enemies from a distance while Zero uses a sword and must fight at close range. ",5
7, 69091 Saturn Battle Arena Toshinden Remix NTSC COMPLETE 33087  ,12.9,  Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",1
8," Guardian Heroes (Sega Saturn, 1996) Game, manual and case! Works!  ",111.27,  Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",4
9," Battle Arena Toshinden Remix (Sega Saturn, 1996) W/ Case  ",11.95,  Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",1
10," Virtua Fighter 2 (Sega Saturn, 1996)  ",7.98,  Good ,"              Sega's hit arcade fighting game makes its anticipated Saturn debut with an assortment of extra features and options. All ten 3D characters from the coin-op are included for play in an 11-match tournament. You'll battle the computer or a friend in matches held within ten texture-mapped, outdoor environments. To win, you must either deplete your opponent's health within the default time of 30 seconds or knock your rival out of each locale's ""ring."" Defeat each challenger three times to advance. As in Virtua Fighter, three buttons are used to block, kick, and punch, while directional pad motions initiate dashes, jumps, crouches, and more. <br><br>In addition to the arcade game's tournament and versus play, the Saturn version includes the following variants: Team Battle, Ranking, Watch, and Expert. ""Team Battle"" has you selecting five characters and challenging a rival team's fighters in succession until one side is defeated. ""Ranking"" features the same structure as the arcade mode, only you'll receive feedback and ratings based on how fast and effective you were in defeating the computer. ""Watch"" is a non-interactive fight between two computer-controlled characters, while ""Expert"" is an advanced mode in which the AI attempts to learn and exploit your tendencies. ",1
