Cluster ID,,title,total_price,condition,details,num_images,canonical_,canonical_total_price,canonical_title,canonical_num_images,canonical_details,canonical_condition,confidence_score
1,1,   GUARDIAN HEROES - SEGA SATURN - COMPLETE CIB with Registration Card! RARE ,82.45,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",2,1,124.99,"guardian heroes (sega saturn, 1996) complete cib",2,"guardian heroes is fantasy-themed action title in the spirit of sega's hack-and-slash golden axe arcade game. choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. the story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. guardian heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players.",very good,0.36686457419836083
6,2,   Sega Saturn Black Console (NTSC) and memory card ,95.0,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",2,4,92.0,sega saturn console,12,video,used,0.23382085084788162
1,3,"   Guardian Heroes  (Sega Saturn, 1996) complete CIB  ",99.99,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",3,1,124.99,"guardian heroes (sega saturn, 1996) complete cib",2,"guardian heroes is fantasy-themed action title in the spirit of sega's hack-and-slash golden axe arcade game. choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. the story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. guardian heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players.",very good,0.36686457419836083
6,4,   Sega Saturn Sonic Jam With Original Case ,44.99,  Acceptable ,,1,4,92.0,sega saturn console,12,video,used,0.23382085084788162
2,5,   Panzer Dragoon II Zwei (Sega Saturn) ,58.15,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,7,45.0,panzer dragoon (sega saturn) complete,1,"after your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. boasting a wide variety of explorable environments, panzer dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. the music should be as awe-inspiring as the surroundings as several tracks were performed by the israeli symphony orchestra.<br><br>action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. players will fend off enemies with 360 degrees of aiming ability. hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. panzer dragoon uses a 3d graphics engine and features art direction similar to the works of moebius.",good,0.26097768545150757
3,6,"   Virtua Fighter 2  (Sega Saturn, 1996 ) **********WOW*<wbr>********* ",4.98,  Acceptable ,"              Sega's hit arcade fighting game makes its anticipated Saturn debut with an assortment of extra features and options. All ten 3D characters from the coin-op are included for play in an 11-match tournament. You'll battle the computer or a friend in matches held within ten texture-mapped, outdoor environments. To win, you must either deplete your opponent's health within the default time of 30 seconds or knock your rival out of each locale's ""ring."" Defeat each challenger three times to advance. As in Virtua Fighter, three buttons are used to block, kick, and punch, while directional pad motions initiate dashes, jumps, crouches, and more. <br><br>In addition to the arcade game's tournament and versus play, the Saturn version includes the following variants: Team Battle, Ranking, Watch, and Expert. ""Team Battle"" has you selecting five characters and challenging a rival team's fighters in succession until one side is defeated. ""Ranking"" features the same structure as the arcade mode, only you'll receive feedback and ratings based on how fast and effective you were in defeating the computer. ""Watch"" is a non-interactive fight between two computer-controlled characters, while ""Expert"" is an advanced mode in which the AI attempts to learn and exploit your tendencies. ",1,6,12.99,"virtua fighter kids (sega saturn, 1996)",1,"akira, shun-di, kage, and pai are back -- but this time, they're kids! virtua fighter kids brings home the arcade action to the sega saturn. this port of the arcade game is based on the award-winning coin-op, virtua fighter. featuring ten childlike fighters, each of whom sports a huge array of moves. with oversized heads and undersized arms, virtua fighter kids puts a new twist on a proven genre.<br><br>fighting takes place in three dimensional rings, allowing players full freedom of movement. most of the modes of play are the same as virtua fighter 2, such as ranking, arcade, and practice. adding to the legacy of the virtua fighter series, virtua fighter kids includes a new play mode and a new feature: kids mode and combo maker. kids mode simplifies the controls by allowing combos to be performed with one button. the combo maker gives players the ability to create up to 20 new moves. take the battle into your own hands!",acceptable,0.15204511185916991
2,7,   Panzer Dragoon II Zwei (Sega Saturn) ,27.5,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,7,45.0,panzer dragoon (sega saturn) complete,1,"after your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. boasting a wide variety of explorable environments, panzer dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. the music should be as awe-inspiring as the surroundings as several tracks were performed by the israeli symphony orchestra.<br><br>action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. players will fend off enemies with 360 degrees of aiming ability. hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. panzer dragoon uses a 3d graphics engine and features art direction similar to the works of moebius.",good,0.26097768545150757
6,8,   SEGA SATURN White Console System (Console Only) ,46.25,  Used ,,7,4,92.0,sega saturn console,12,video,used,0.23382085084788162
6,9,   Sega Saturn Black Console (NTSC) ,30.65,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1,4,92.0,sega saturn console,12,video,used,0.23382085084788162
6,10,   Sega Saturn Console NTSC (with all hook-ups) Tested and works ,54.99,  Used ,,5,4,92.0,sega saturn console,12,video,used,0.23382085084788162
6,11," Sega Saturn Console System (Tested)_files/42veamnesayuphbpaxw0kevnzml"" type=""text/css"">",62.54,  Used ,,5,4,92.0,sega saturn console,12,video,used,0.23382085084788162
3,12,"   Virtua Fighter Kids  (Sega Saturn, 1996) ",12.99,  Acceptable ,"              Akira, Shun-di, Kage, and Pai are back -- but this time, they're kids! Virtua Fighter Kids brings home the arcade action to the Sega Saturn. This port of the arcade game is based on the award-winning coin-op, Virtua Fighter. Featuring ten childlike fighters, each of whom sports a huge array of moves. With oversized heads and undersized arms, Virtua Fighter Kids puts a new twist on a proven genre.<br><br>Fighting takes place in three dimensional rings, allowing players full freedom of movement. Most of the modes of play are the same as Virtua Fighter 2, such as Ranking, Arcade, and Practice. Adding to the legacy of the Virtua Fighter series, Virtua Fighter Kids includes a new play mode and a new feature: Kids mode and Combo Maker. Kids mode simplifies the controls by allowing combos to be performed with one button. The Combo Maker gives players the ability to create up to 20 new moves. Take the battle into your own hands! ",1,6,12.99,"virtua fighter kids (sega saturn, 1996)",1,"akira, shun-di, kage, and pai are back -- but this time, they're kids! virtua fighter kids brings home the arcade action to the sega saturn. this port of the arcade game is based on the award-winning coin-op, virtua fighter. featuring ten childlike fighters, each of whom sports a huge array of moves. with oversized heads and undersized arms, virtua fighter kids puts a new twist on a proven genre.<br><br>fighting takes place in three dimensional rings, allowing players full freedom of movement. most of the modes of play are the same as virtua fighter 2, such as ranking, arcade, and practice. adding to the legacy of the virtua fighter series, virtua fighter kids includes a new play mode and a new feature: kids mode and combo maker. kids mode simplifies the controls by allowing combos to be performed with one button. the combo maker gives players the ability to create up to 20 new moves. take the battle into your own hands!",acceptable,0.15204511185916991
5,13,   Albert Odyssey Legend of Eldean SEGA Saturn RPG Very  Rare   MINT CONIDTION DISC ,79.99,  Like New ,,3,34,83.99,albert odyssey: legend of eldean (sega saturn) * rare*,3,"albert odyssey: legend of eldean was originally released for the super nintendo system in japan. it contains a menu-driven combat system that is turn-based. you control pike and the other four members of his party. pike is a young orphan who was raised by harpies. during the first ten years of his life all he has ever known is the peaceful ways of the forest. now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. when pike's village is attacked he and his adopted sister, laia, are turned to stone. cirrus, a magical sword once held by his father, is able to rescue pike but not laia. pike must embark on a quest in order to find a way to free his sister from stone.",like new,0.52197020753528223
6,14,   Sega Saturn Black Console (NTSC) ,43.05,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1,4,92.0,sega saturn console,12,video,used,0.23382085084788162
0,15,   Sonic 3D Blast for the Sega Saturn !!MINT DISK!! ,22.0,  Like New ,,4,48,12.99,sonic 3d blast complete game sega saturn cib,1,"dr. robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. determined yet again to collect the chaos emeralds and gain absolute power (over what, we're never exactly sure), the man with the mean bean machine has sent out his robo-cronies to kidnap the birdlike flickies and invade flicky island in search of all six chaos emeralds. poor sonic. why can't anyone else play the hero for once?<br><br>the gameplay is familiar, but the settings are completely new. sonic 3d blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>rescue the flickies from the grasps of each of robotnik's mechanized bad guys, and set them free at the end of each level. also, keep an eye out for tails, who'll offer you a round trip ticket to the bonus rounds where sonic must collect enough rings to earn each emerald.<br><br>claim each section of flicky island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving dr. robotnik.<br><br>sonic 3d blast for saturn features two separate endings, each displayed in full motion video. there is no save feature in sonic 3d blast.",good,0.1911842999529535
6,16,   Sega Saturn Black Console (NTSC) joystick cables complete video game system ,96.11,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1,4,92.0,sega saturn console,12,video,used,0.23382085084788162
6,17,   BATTLE ARENA TOSHINDEN Sega Saturn Game ,33.99,  Like New ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",4,4,92.0,sega saturn console,12,video,used,0.23382085084788162
6,18,"   Mega Man 8: Anniversary Collector's Edition  (Sega Saturn, 1997) ",229.99,  Like New , Video ,2,4,92.0,sega saturn console,12,video,used,0.23382085084788162
6,19,   Sega Saturn White Console System + Free Game Disc only  Japanese version SS ,40.0,  Used ,,8,4,92.0,sega saturn console,12,video,used,0.23382085084788162
4,20,"   Die Hard Arcade  (Saturn, 1997) ",43.19,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,80,40.0,"die hard arcade (sega saturn, 1997)",5,"die hard arcade takes place after the second die hard movie, die hard with a vengeance. single or multiple players may take the role of john mcclane and his female partner as they stand against a horde of terrorists to save john's wife and the president's daughter. <br><br>gamers must traverse the rooftops, galleries, and restrooms of the nakatomi corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and swat team members. die hard arcade features multiple endings as well as the sega arcade classic deep scan. completing deep scan in one try unlocks extra credits for die hard arcade.",good,0.6532578357153318
