From Videogames.pricecharting.com, rarityguide.com
Game,11/4/2014 Price Loose,11/4/2014 Price Complete
Panzer Dragoon Saga, 334.31, 355.00
Shining Force III, 99.95, 121.10
Mega Man 8, 192.50, 229.95
Shining The Holy Ark,50.00,74.95
Burning Rangers, 147.50, 178.49
Dragon Force, 90.99, 115.49
Mega Man X4, 77.99, 110.99
Panzer Dragoon II, 31.00, 39.99
Panzer Dragoon, 24.50, 40.00
Street Fighter Collection, 69.50, 74.90
Guardian Heroes, 64.49, 75.50
Virtua Cop, 4.90, 9.99
Virtua Fighter, 9.99, 12.99
Virtua Fighter Kids, 8.71, 19.99
Sega Saturn Console, 48.39, 160.00
House of the Dead, 154.50, 154.25
Daytona USA, 4.79, 8.99
