,num_of_buzzwords,price_difference,condition_val,detailsYN,num_images
1,1.0,65.1,1.0,1.0,9.0
2,0.0,66.55,1.0,1.0,2.0
3,1.0,75.1,1.0,1.0,8.0
4,0.0,64.97999999999999,1.0,1.0,5.0
5,1.0,70.1,1.0,1.0,9.0
6,0.0,93.14,1.0,1.0,1.0
7,1.0,70.1,1.0,1.0,8.0
8,0.0,112.1,1.0,1.0,12.0
9,0.0,64.1,1.0,1.0,2.0
10,0.0,115.1,1.0,1.0,12.0
11,0.0,64.97999999999999,1.0,1.0,5.0
12,0.0,64.97999999999999,1.0,1.0,5.0
13,1.0,105.08999999999999,4.0,1.0,6.0
14,0.0,150.1,1.0,1.0,5.0
15,1.0,103.08999999999999,1.0,1.0,12.0
16,0.0,331.55,4.0,1.0,1.0
17,1.0,383.90000000000003,4.0,1.0,3.0
18,2.0,46.989999999999995,4.0,1.0,1.0
19,0.0,-5.880000000000003,2.0,1.0,3.0
20,2.0,46.989999999999995,4.0,1.0,1.0
21,2.0,76.09,3.0,1.0,10.0
22,0.0,43.989999999999995,2.0,1.0,4.0
23,0.0,49.989999999999995,4.0,1.0,8.0
24,3.0,42.690000000000005,4.0,1.0,2.0
25,1.0,34.01,3.0,1.0,3.0
26,1.0,55.949999999999996,4.0,1.0,3.0
27,0.0,7.0,2.0,1.0,1.0
28,2.0,46.01,1.0,1.0,8.0
29,0.0,35.5,4.0,1.0,5.0
30,1.0,46.78,3.0,1.0,4.0
31,0.0,-10.049999999999997,2.0,1.0,1.0
32,2.0,35.5,4.0,1.0,3.0
33,0.0,34.010000000000005,4.0,1.0,5.0
34,2.0,30.450000000000003,4.0,1.0,1.0
35,1.0,58.95,6.0,1.0,7.0
36,0.0,13.0,6.0,1.0,2.0
37,0.0,4.450000000000001,4.0,1.0,1.0
38,0.0,2.0500000000000007,5.0,1.0,3.0
39,0.0,6.049999999999999,3.0,1.0,1.0
40,2.0,10.04,3.0,1.0,1.0
41,0.0,9.09,4.0,1.0,1.0
42,1.0,16.589999999999996,4.0,1.0,2.0
43,0.0,1.25,3.0,1.0,2.0
44,1.0,12.1,4.0,1.0,1.0
45,1.0,5.49,3.0,1.0,3.0
46,1.0,7.0,3.0,1.0,1.0
47,1.0,34.010000000000005,4.0,1.0,7.0
48,3.0,16.66000000000001,5.0,1.0,6.0
49,2.0,46.8,4.0,1.0,1.0
50,0.0,25.89,4.0,1.0,2.0
51,1.0,-18.989999999999995,2.0,1.0,1.0
52,1.0,39.010000000000005,5.0,1.0,6.0
53,1.0,6.489999999999998,3.0,1.0,1.0
54,0.0,7.489999999999998,4.0,1.0,1.0
55,2.0,15.489999999999998,4.0,1.0,3.0
56,4.0,17.49,5.0,1.0,3.0
57,2.0,15.489999999999998,4.0,1.0,3.0
58,0.0,2.4499999999999993,2.0,1.0,1.0
59,1.0,18.5,5.0,1.0,3.0
60,2.0,13.489999999999998,3.0,1.0,2.0
61,0.0,3.49,3.0,1.0,1.0
62,1.0,15.499999999999998,4.0,1.0,3.0
63,0.0,9.43,4.0,1.0,4.0
64,0.0,15.499999999999998,4.0,1.0,2.0
65,5.0,3.5,4.0,1.0,1.0
66,1.0,1.5,2.0,1.0,1.0
67,2.0,10.26,3.0,1.0,4.0
68,0.0,2.51,1.0,1.0,1.0
69,0.0,33.94999999999999,4.0,1.0,1.0
70,0.0,27.5,4.0,1.0,1.0
71,1.0,14.5,4.0,1.0,4.0
72,0.0,32.49000000000001,4.0,1.0,3.0
73,1.0,-57.510000000000005,3.0,1.0,1.0
74,2.0,63.28999999999999,4.0,1.0,1.0
75,2.0,74.99000000000001,3.0,1.0,11.0
76,0.0,113.48000000000002,1.0,1.0,11.0
77,2.0,50.0,4.0,1.0,1.0
78,1.0,93.99000000000001,4.0,1.0,1.0
79,1.0,88.99000000000001,4.0,1.0,1.0
80,2.0,70.94000000000001,4.0,1.0,5.0
81,2.0,151.95999999999998,2.0,1.0,1.0
82,2.0,58.000000000000014,4.0,1.0,1.0
83,0.0,-18.839999999999996,4.0,1.0,1.0
84,2.0,75.50000000000001,3.0,1.0,3.0
85,0.0,-68.53,2.0,1.0,2.0
86,1.0,31.0,3.0,1.0,1.0
87,4.0,27.990000000000002,4.0,1.0,3.0
88,0.0,6.859999999999999,3.0,1.0,3.0
89,2.0,1.0799999999999983,3.0,1.0,2.0
90,1.0,17.990000000000002,3.0,1.0,4.0
91,2.0,12.990000000000002,3.0,1.0,1.0
92,1.0,15.049999999999997,4.0,1.0,1.0
93,2.0,44.040000000000006,3.0,1.0,1.0
