,num_of_buzzwords,price_difference,condition_val,detailsYN,num_images
1,2.0,102.13,4.0,1.0,3.0
2,1.0,-11.860000000000014,5.0,1.0,4.0
3,0.0,42.139999999999986,3.0,1.0,5.0
4,0.0,-7.860000000000014,4.0,1.0,1.0
5,2.0,7.639999999999986,4.0,1.0,6.0
6,1.0,32.139999999999986,4.0,1.0,8.0
7,0.0,47.139999999999986,4.0,1.0,3.0
8,0.0,-77.86000000000001,3.0,1.0,2.0
9,3.0,-37.860000000000014,3.0,1.0,4.0
10,0.0,-90.78999999999999,3.0,1.0,2.0
11,0.0,-19.310000000000002,2.0,1.0,3.0
12,2.0,65.68,4.0,1.0,3.0
13,3.0,25.129999999999995,5.0,1.0,8.0
14,0.0,-19.310000000000002,2.0,1.0,3.0
15,2.0,72.13,4.0,1.0,3.0
16,2.0,-289.32,3.0,1.0,3.0
17,1.0,-83.50999999999999,2.0,1.0,2.0
18,3.0,37.44,5.0,1.0,3.0
19,2.0,-51.06,2.0,1.0,5.0
20,1.0,28.94999999999999,4.0,1.0,4.0
21,0.0,-41.06,3.0,1.0,3.0
22,1.0,28.94999999999999,3.0,1.0,11.0
23,2.0,16.939999999999998,4.0,1.0,3.0
24,1.0,48.94999999999999,4.0,1.0,3.0
25,0.0,31.44999999999999,3.0,1.0,3.0
26,1.0,48.94999999999999,4.0,1.0,3.0
27,0.0,38.94999999999999,5.0,1.0,2.0
28,0.0,0.5500000000000114,4.0,1.0,3.0
29,4.0,47.44999999999999,4.0,1.0,5.0
30,0.0,61.44999999999999,5.0,1.0,3.0
31,1.0,38.94999999999999,4.0,1.0,3.0
32,0.0,17.439999999999998,5.0,1.0,7.0
33,3.0,43.900000000000006,4.0,1.0,3.0
34,1.0,58.849999999999994,4.0,1.0,3.0
35,0.0,-27.049999999999997,5.0,1.0,3.0
36,2.0,44.06,4.0,1.0,1.0
37,2.0,43.41,4.0,1.0,1.0
38,2.0,35.41,4.0,1.0,1.0
39,2.0,38.41,4.0,1.0,1.0
40,1.0,25.120000000000005,4.0,1.0,4.0
41,0.0,14.070000000000007,4.0,1.0,4.0
42,1.0,13.570000000000007,5.0,1.0,2.0
43,0.0,-15.929999999999993,3.0,1.0,3.0
44,0.0,-5.929999999999993,3.0,1.0,5.0
45,1.0,14.060000000000002,3.0,1.0,2.0
46,3.0,-12.929999999999993,5.0,1.0,2.0
47,1.0,-10.97999999999999,3.0,1.0,1.0
48,1.0,19.070000000000007,5.0,1.0,3.0
49,2.0,19.060000000000002,4.0,1.0,4.0
50,3.0,-15.939999999999998,5.0,1.0,3.0
51,0.0,24.060000000000002,4.0,1.0,5.0
52,1.0,24.02000000000001,2.0,1.0,3.0
53,1.0,-10.97999999999999,3.0,1.0,1.0
54,0.0,-15.929999999999993,3.0,1.0,1.0
55,0.0,26.569999999999993,4.0,1.0,3.0
56,2.0,29.069999999999993,5.0,1.0,5.0
57,4.0,-2.9299999999999926,4.0,1.0,2.0
58,3.0,-15.939999999999998,5.0,1.0,3.0
59,3.0,-22.39,5.0,1.0,3.0
60,3.0,-18.39,5.0,1.0,3.0
61,1.0,-20.929999999999993,4.0,1.0,1.0
62,1.0,16.61,2.0,1.0,5.0
63,1.0,8.809999999999999,2.0,1.0,1.0
64,0.0,17.73,4.0,1.0,1.0
65,1.0,21.27,4.0,1.0,1.0
66,1.0,5.979999999999999,4.0,1.0,7.0
67,1.0,13.0,3.0,1.0,4.0
68,1.0,10.73,4.0,1.0,1.0
69,1.0,6.75,4.0,1.0,3.0
70,1.0,10.73,3.0,1.0,3.0
71,0.0,12.73,4.0,1.0,3.0
72,0.0,12.629999999999999,4.0,1.0,1.0
73,0.0,4.279999999999999,2.0,1.0,1.0
74,2.0,14.75,4.0,1.0,3.0
75,1.0,3.789999999999999,2.0,1.0,1.0
76,1.0,3.789999999999999,2.0,1.0,1.0
77,0.0,10.279999999999998,4.0,1.0,1.0
78,6.0,17.73,5.0,1.0,3.0
79,1.0,5.68,3.0,1.0,1.0
80,1.0,46.16,1.0,1.0,10.0
81,1.0,18.11,1.0,1.0,1.0
82,0.0,9.060000000000002,1.0,1.0,4.0
83,0.0,-20.45,1.0,1.0,3.0
84,0.0,8.049999999999997,1.0,1.0,1.0
85,0.0,-1.3900000000000006,-1.0,1.0,1.0
86,0.0,33.05,1.0,1.0,12.0
87,0.0,48.06,1.0,1.0,10.0
88,1.0,17.060000000000002,1.0,1.0,3.0
89,1.0,9.11,1.0,1.0,1.0
90,0.0,-16.95,2.0,1.0,9.0
91,2.0,-1.9399999999999977,1.0,1.0,4.0
92,0.0,18.049999999999997,1.0,1.0,1.0
93,0.0,-1.9399999999999977,1.0,1.0,5.0
94,0.0,-8.939999999999998,1.0,1.0,1.0
95,0.0,46.61,1.0,1.0,2.0
96,0.0,-17.740000000000002,1.0,1.0,1.0
97,0.0,6.600000000000001,1.0,1.0,5.0
98,0.0,14.149999999999999,1.0,1.0,5.0
99,0.0,-5.340000000000003,1.0,1.0,1.0
100,1.0,47.72,1.0,1.0,1.0
101,0.0,16.61,1.0,1.0,2.0
102,0.0,13.700000000000003,1.0,1.0,1.0
103,1.0,-8.410000000000004,1.0,1.0,3.0
104,1.0,43.61,1.0,1.0,4.0
105,1.0,41.599999999999994,1.0,1.0,3.0
106,0.0,33.05,1.0,1.0,12.0
107,0.0,71.61,1.0,1.0,7.0
108,2.0,12.009999999999998,1.0,1.0,5.0
109,2.0,250.61,-1.0,1.0,12.0
110,0.0,-5.340000000000003,1.0,1.0,1.0
111,0.0,46.61,1.0,1.0,2.0
112,2.0,23.299999999999997,1.0,1.0,9.0
113,2.0,12.600000000000001,1.0,1.0,7.0
114,0.0,53.06,1.0,1.0,5.0
115,2.0,7.609999999999999,1.0,1.0,8.0
116,1.0,25.599999999999994,1.0,1.0,2.0
117,0.0,16.450000000000003,2.0,1.0,5.0
118,1.0,36.44,4.0,1.0,2.0
119,0.0,23.209999999999994,5.0,1.0,2.0
120,0.0,26.450000000000003,3.0,1.0,5.0
121,0.0,46.45,5.0,1.0,8.0
122,3.0,64.44,5.0,1.0,2.0
123,0.0,32.95,4.0,1.0,1.0
124,0.0,32.7,4.0,1.0,4.0
125,3.0,46.400000000000006,5.0,1.0,2.0
