Cluster ID,,title,total_price,condition,details,num_images,canonical_,canonical_total_price,canonical_title,canonical_num_images,canonical_details,canonical_condition,confidence_score
11,1, Shining Force 3 - Sega Saturn - 1998 - Disc and Case - No Manual - Strategy RPG  ,66.44,  Acceptable ,,6,1,116.4,"shining force 3 sega saturn loose,free shipping",6,"as the story unfolds the destonia empire and the aspinian empire are close to peace. however, during a peace summit in saraband, the bulzome monks and their leaders are able to kidnap the destonian emperor while impersonating the aspinian king. thus, the world believes the aspinian people do not want peace and a war ensues.<br><br>shining force iii is a combination of role-playing and strategy. you take the role of synbios, son of the destonian emperor's son. you command an army of characters who are made up of typical rpg classes such as knights and mages. each character has their own types of weapons and some are capable of magic. battles are where the strategy elements take place. on the battlefield players take turns attacking and can even make friends with other characters who are attacking the same foe.",good,0.2533746057918681
4,2, Mega Man 8: Anniversary Collector&#39;s Edition Sega Saturn Amazing Condition!  ,306.44,  Like New , Video ,8,2,41.45,mega man x4 saturn,2,"in mega man x4, under the command of sigma, general and colonel have encouraged repliforce to riot. repliforce is on a rampage and are destroying maverick hunter establishments. their overall plan is to eliminate the human race by building a weapon of mass destruction and using it to blow up earth.<br><br>the major difference in this game from previous installments of the series is that you can play as either mega man x or zero for the complete game. differences when playing with each character include sidekicks, dialogue, and slight story changes. gameplay is also different as mega man x can shoot enemies from a distance while zero uses a sword and must fight at close range.",very good,0.25430449251218123
6,3, GUARDIAN HEROES - SEGA SATURN - COMPLETE CIB with Registration Card! RARE  ,82.45,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",2,3,81.45,guardian heroes sega saturn complete,2,"guardian heroes is fantasy-themed action title in the spirit of sega's hack-and-slash golden axe arcade game. choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. the story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. guardian heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players.",good,0.28212948051914744
10,4," Shining the Holy Ark (Sega Saturn, 1997)  ",66.45,  Acceptable ,"              The kingdom of Enrich, in times past, was a prosperous realm, much wealth was being obtained from the Desire Mine. Sadly, this land is now only known as a cursed land. While the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. Roads into the land are now patrolled by the castle guard, along with the evils of the land. It is a land unsafe for all.<br><br>A number of days ago, the king summoned the mercenary Arthur. Travelling with Arthur are Forte the magician and Melody, Forte's apprentice. They have been hired to seek out the renegade ninja Rodi. Rodi is believed to be somewhere in the Desire mountain range, possibly in the deserted Desire Mine.<br><br>You play the role of Arthur and begin the game by following the king's bidding in finding the renegade ninja. Are you prepared for the threads of destiny to be unraveled? Play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person RPG. ",5,6,76.45,shining the holy ark sega saturn,2,"the kingdom of enrich, in times past, was a prosperous realm, much wealth was being obtained from the desire mine. sadly, this land is now only known as a cursed land. while the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. roads into the land are now patrolled by the castle guard, along with the evils of the land. it is a land unsafe for all.<br><br>a number of days ago, the king summoned the mercenary arthur. travelling with arthur are forte the magician and melody, forte's apprentice. they have been hired to seek out the renegade ninja rodi. rodi is believed to be somewhere in the desire mountain range, possibly in the deserted desire mine.<br><br>you play the role of arthur and begin the game by following the king's bidding in finding the renegade ninja. are you prepared for the threads of destiny to be unraveled? play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person rpg.",good,0.14873652475650989
0,5," Battle Arena Toshinden Remix (Sega Saturn, 1996) Complete!  ",19.35,  Very Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",2,5,19.35,"battle arena toshinden remix (sega saturn, 1996)",2,"battle arena toshinden remix is a port of the playstation game battle arena toshinden. it is complete with new special effects, music, and one new character, kupeed. toshinden is a martial arts tournament for which all of the fighters have gathered to participate. during the action the camera angle regularly changes. action can be viewed from a distance or close up. there are a total of ten characters in the game. eight of them are playable while the other two, gaia and sho, are bosses. story mode takes players through each character's motives for being at the tournament. along with many hand-to-hand combat special moves, each character has a weapon. weapons include swords, knives, claws, a whip, a stone club, and a spear.",good,0.27437634792708654
10,6," Shining the Holy Ark (Sega Saturn, 1997) complete! Great shape!  ",86.44,  Very Good ,"              The kingdom of Enrich, in times past, was a prosperous realm, much wealth was being obtained from the Desire Mine. Sadly, this land is now only known as a cursed land. While the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. Roads into the land are now patrolled by the castle guard, along with the evils of the land. It is a land unsafe for all.<br><br>A number of days ago, the king summoned the mercenary Arthur. Travelling with Arthur are Forte the magician and Melody, Forte's apprentice. They have been hired to seek out the renegade ninja Rodi. Rodi is believed to be somewhere in the Desire mountain range, possibly in the deserted Desire Mine.<br><br>You play the role of Arthur and begin the game by following the king's bidding in finding the renegade ninja. Are you prepared for the threads of destiny to be unraveled? Play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person RPG. ",2,6,76.45,shining the holy ark sega saturn,2,"the kingdom of enrich, in times past, was a prosperous realm, much wealth was being obtained from the desire mine. sadly, this land is now only known as a cursed land. while the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. roads into the land are now patrolled by the castle guard, along with the evils of the land. it is a land unsafe for all.<br><br>a number of days ago, the king summoned the mercenary arthur. travelling with arthur are forte the magician and melody, forte's apprentice. they have been hired to seek out the renegade ninja rodi. rodi is believed to be somewhere in the desire mountain range, possibly in the deserted desire mine.<br><br>you play the role of arthur and begin the game by following the king's bidding in finding the renegade ninja. are you prepared for the threads of destiny to be unraveled? play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person rpg.",good,0.14873652475650989
4,7," Mega Man 8: Anniversary Collector&#39;s Edition for Sega Saturn, Complete CIB  ",205.5,  Very Good , Video ,3,2,41.45,mega man x4 saturn,2,"in mega man x4, under the command of sigma, general and colonel have encouraged repliforce to riot. repliforce is on a rampage and are destroying maverick hunter establishments. their overall plan is to eliminate the human race by building a weapon of mass destruction and using it to blow up earth.<br><br>the major difference in this game from previous installments of the series is that you can play as either mega man x or zero for the complete game. differences when playing with each character include sidekicks, dialogue, and slight story changes. gameplay is also different as mega man x can shoot enemies from a distance while zero uses a sword and must fight at close range.",very good,0.25430449251218123
16,8," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) CIB   ",28.4,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,,,,,,,
3,9," Panzer Dragoon (Sega Saturn, 1995)  ",36.44,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,110,31.45,panzer dragoon saga,4,"sega's popular dragon shooter series continues with a four-cd adventure for the ages. blending time-tested panzer action with some of the most impressive graphics and gameplay the saturn has ever seen, this installment is packed with mysteries and puzzles. hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. you'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. one of the most in-depth role-playing games ever created, panzer dragon saga is a lushly detailed masterpiece for gamers of all skill levels. released in japan under the title azel: panzer dragoon rpg",very good,0.1376295513209661
13,10, &quot;Die Hard Arcade&quot; Sega Saturn 1997  ,18.45,  Good ,,1,127,45.4,die hard arcade,1,"die hard arcade takes place after the second die hard movie, die hard with a vengeance. single or multiple players may take the role of john mcclane and his female partner as they stand against a horde of terrorists to save john's wife and the president's daughter. <br><br>gamers must traverse the rooftops, galleries, and restrooms of the nakatomi corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and swat team members. die hard arcade features multiple endings as well as the sega arcade classic deep scan. completing deep scan in one try unlocks extra credits for die hard arcade.",good,0.22631578412265629
5,11," Burning Rangers (Sega Saturn, 1998) - Disc Only Works Great!  ",96.44,  Acceptable ,"              When enormous fires threaten the safety of innocent space-goers, there's only one group of people who can save the day -- the Burning Rangers! As the last Saturn project from Sega's Sonic Team, Burning Rangers is a 3D platform shooter that combines exploration with rescue action. It contains four levels over three locations: a burning building, an underwater base, and a space station. <br><br>Choose between two futuristic firefighters, the powerful Shou Amabane or the graceful Tillis. Then jump into the heat armed with a fire-extinguishing cannon. As you make your way through the ruined complexes, you will find civilians who need rescuing. In order to send the civilians back to safety you will need to collect enough energy crystals. ",5,19,196.45,"burning rangers (sega saturn, 1998)",3,"when enormous fires threaten the safety of innocent space-goers, there's only one group of people who can save the day -- the burning rangers! as the last saturn project from sega's sonic team, burning rangers is a 3d platform shooter that combines exploration with rescue action. it contains four levels over three locations: a burning building, an underwater base, and a space station. <br><br>choose between two futuristic firefighters, the powerful shou amabane or the graceful tillis. then jump into the heat armed with a fire-extinguishing cannon. as you make your way through the ruined complexes, you will find civilians who need rescuing. in order to send the civilians back to safety you will need to collect enough energy crystals.",very good,0.3063976953797044
9,12, SEGA SATURN PANZER DRAGOON SAGA COMPLETE 4 DISK GAME W/ CASE &amp; MANUAL  ,436.44,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3,12,26.44,sega saturn jntsc,12,"dr. robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. determined yet again to collect the chaos emeralds and gain absolute power (over what, we're never exactly sure), the man with the mean bean machine has sent out his robo-cronies to kidnap the birdlike flickies and invade flicky island in search of all six chaos emeralds. poor sonic. why can't anyone else play the hero for once?<br><br>the gameplay is familiar, but the settings are completely new. sonic 3d blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>rescue the flickies from the grasps of each of robotnik's mechanized bad guys, and set them free at the end of each level. also, keep an eye out for tails, who'll offer you a round trip ticket to the bonus rounds where sonic must collect enough rings to earn each emerald.<br><br>claim each section of flicky island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving dr. robotnik.<br><br>sonic 3d blast for saturn features two separate endings, each displayed in full motion video. there is no save feature in sonic 3d blast.",used,0.24558597733755261
13,13,"   Die Hard Arcade For (Sega Saturn, 1997) Disc Only FREE SHIPPING ",26.45,  Acceptable ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",2,127,45.4,die hard arcade,1,"die hard arcade takes place after the second die hard movie, die hard with a vengeance. single or multiple players may take the role of john mcclane and his female partner as they stand against a horde of terrorists to save john's wife and the president's daughter. <br><br>gamers must traverse the rooftops, galleries, and restrooms of the nakatomi corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and swat team members. die hard arcade features multiple endings as well as the sega arcade classic deep scan. completing deep scan in one try unlocks extra credits for die hard arcade.",good,0.22631578412265629
2,14,   Virtua Fighter Kids for Sega Saturn Used CIB A4 ,17.52,  Acceptable ,,1,14,19.44,"virtua fighter kids (sega saturn, 1996)",1,"akira, shun-di, kage, and pai are back -- but this time, they're kids! virtua fighter kids brings home the arcade action to the sega saturn. this port of the arcade game is based on the award-winning coin-op, virtua fighter. featuring ten childlike fighters, each of whom sports a huge array of moves. with oversized heads and undersized arms, virtua fighter kids puts a new twist on a proven genre.<br><br>fighting takes place in three dimensional rings, allowing players full freedom of movement. most of the modes of play are the same as virtua fighter 2, such as ranking, arcade, and practice. adding to the legacy of the virtua fighter series, virtua fighter kids includes a new play mode and a new feature: kids mode and combo maker. kids mode simplifies the controls by allowing combos to be performed with one button. the combo maker gives players the ability to create up to 20 new moves. take the battle into your own hands!",very good,0.1776563176444883
9,15, Sega Saturn Console(No Instruction) Console JP GAM  ,66.5,  Used ,,1,12,26.44,sega saturn jntsc,12,"dr. robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. determined yet again to collect the chaos emeralds and gain absolute power (over what, we're never exactly sure), the man with the mean bean machine has sent out his robo-cronies to kidnap the birdlike flickies and invade flicky island in search of all six chaos emeralds. poor sonic. why can't anyone else play the hero for once?<br><br>the gameplay is familiar, but the settings are completely new. sonic 3d blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>rescue the flickies from the grasps of each of robotnik's mechanized bad guys, and set them free at the end of each level. also, keep an eye out for tails, who'll offer you a round trip ticket to the bonus rounds where sonic must collect enough rings to earn each emerald.<br><br>claim each section of flicky island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving dr. robotnik.<br><br>sonic 3d blast for saturn features two separate endings, each displayed in full motion video. there is no save feature in sonic 3d blast.",used,0.24558597733755261
13,16," Die Hard Arcade (Sega Saturn, 1997)  ",35.45,  Very Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",3,127,45.4,die hard arcade,1,"die hard arcade takes place after the second die hard movie, die hard with a vengeance. single or multiple players may take the role of john mcclane and his female partner as they stand against a horde of terrorists to save john's wife and the president's daughter. <br><br>gamers must traverse the rooftops, galleries, and restrooms of the nakatomi corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and swat team members. die hard arcade features multiple endings as well as the sega arcade classic deep scan. completing deep scan in one try unlocks extra credits for die hard arcade.",good,0.22631578412265629
13,17," ***Die Hard Arcade (Sega Saturn,1997)***  ",44.45,  Very Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,127,45.4,die hard arcade,1,"die hard arcade takes place after the second die hard movie, die hard with a vengeance. single or multiple players may take the role of john mcclane and his female partner as they stand against a horde of terrorists to save john's wife and the president's daughter. <br><br>gamers must traverse the rooftops, galleries, and restrooms of the nakatomi corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and swat team members. die hard arcade features multiple endings as well as the sega arcade classic deep scan. completing deep scan in one try unlocks extra credits for die hard arcade.",good,0.22631578412265629
17,18,   diehard  arcade sega saturn game ,23.62,Not Specified,,2,,,,,,,
