Cluster ID,,title,total_price,condition,details,num_images,target,canonical_,canonical_total_price,canonical_target,canonical_title,canonical_num_images,canonical_details,canonical_condition,confidence_score
12,1, Shining Force 3 - Sega Saturn - 1998 - Disc and Case - No Manual - Strategy RPG  ,66.44,  Acceptable ,,6,1,1,115.0,1,shining force iii 3 - sega saturn - complete original case &amp; manual,1,"as the story unfolds the destonia empire and the aspinian empire are close to peace. however, during a peace summit in saraband, the bulzome monks and their leaders are able to kidnap the destonian emperor while impersonating the aspinian king. thus, the world believes the aspinian people do not want peace and a war ensues.<br><br>shining force iii is a combination of role-playing and strategy. you take the role of synbios, son of the destonian emperor's son. you command an army of characters who are made up of typical rpg classes such as knights and mages. each character has their own types of weapons and some are capable of magic. battles are where the strategy elements take place. on the battlefield players take turns attacking and can even make friends with other characters who are attacking the same foe.",good,0.20504052628606584
14,2, Mega Man 8: Anniversary Collector&#39;s Edition Sega Saturn Amazing Condition!  ,306.44,  Like New , Video ,8,1,2,146.44,1,mega man x4 saturn,11,video,very good,0.23978471755981445
3,3, GUARDIAN HEROES - SEGA SATURN - COMPLETE CIB with Registration Card! RARE  ,82.45,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",2,1,3,12.99,1,"virtua fighter kids (sega saturn, 1996)",1,"guardian heroes is fantasy-themed action title in the spirit of sega's hack-and-slash golden axe arcade game. choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. the story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. guardian heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players.",very good,0.25238429026431086
5,4," Shining the Holy Ark (Sega Saturn, 1997)  ",66.45,  Acceptable ,"              The kingdom of Enrich, in times past, was a prosperous realm, much wealth was being obtained from the Desire Mine. Sadly, this land is now only known as a cursed land. While the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. Roads into the land are now patrolled by the castle guard, along with the evils of the land. It is a land unsafe for all.<br><br>A number of days ago, the king summoned the mercenary Arthur. Travelling with Arthur are Forte the magician and Melody, Forte's apprentice. They have been hired to seek out the renegade ninja Rodi. Rodi is believed to be somewhere in the Desire mountain range, possibly in the deserted Desire Mine.<br><br>You play the role of Arthur and begin the game by following the king's bidding in finding the renegade ninja. Are you prepared for the threads of destiny to be unraveled? Play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person RPG. ",5,1,6,76.45,1,shining the holy ark sega saturn,2,"the kingdom of enrich, in times past, was a prosperous realm, much wealth was being obtained from the desire mine. sadly, this land is now only known as a cursed land. while the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. roads into the land are now patrolled by the castle guard, along with the evils of the land. it is a land unsafe for all.<br><br>a number of days ago, the king summoned the mercenary arthur. travelling with arthur are forte the magician and melody, forte's apprentice. they have been hired to seek out the renegade ninja rodi. rodi is believed to be somewhere in the desire mountain range, possibly in the deserted desire mine.<br><br>you play the role of arthur and begin the game by following the king's bidding in finding the renegade ninja. are you prepared for the threads of destiny to be unraveled? play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person rpg.",good,0.23492092860670755
6,5," Battle Arena Toshinden Remix (Sega Saturn, 1996) Complete!  ",19.35,  Very Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",2,1,5,13.95,1,"battle arena toshinden remix (sega saturn, 1996) complete cib",3,"battle arena toshinden remix is a port of the playstation game battle arena toshinden. it is complete with new special effects, music, and one new character, kupeed. toshinden is a martial arts tournament for which all of the fighters have gathered to participate. during the action the camera angle regularly changes. action can be viewed from a distance or close up. there are a total of ten characters in the game. eight of them are playable while the other two, gaia and sho, are bosses. story mode takes players through each character's motives for being at the tournament. along with many hand-to-hand combat special moves, each character has a weapon. weapons include swords, knives, claws, a whip, a stone club, and a spear.",very good,0.15753682136452873
5,6," Shining the Holy Ark (Sega Saturn, 1997) complete! Great shape!  ",86.44,  Very Good ,"              The kingdom of Enrich, in times past, was a prosperous realm, much wealth was being obtained from the Desire Mine. Sadly, this land is now only known as a cursed land. While the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. Roads into the land are now patrolled by the castle guard, along with the evils of the land. It is a land unsafe for all.<br><br>A number of days ago, the king summoned the mercenary Arthur. Travelling with Arthur are Forte the magician and Melody, Forte's apprentice. They have been hired to seek out the renegade ninja Rodi. Rodi is believed to be somewhere in the Desire mountain range, possibly in the deserted Desire Mine.<br><br>You play the role of Arthur and begin the game by following the king's bidding in finding the renegade ninja. Are you prepared for the threads of destiny to be unraveled? Play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person RPG. ",2,1,6,76.45,1,shining the holy ark sega saturn,2,"the kingdom of enrich, in times past, was a prosperous realm, much wealth was being obtained from the desire mine. sadly, this land is now only known as a cursed land. while the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. roads into the land are now patrolled by the castle guard, along with the evils of the land. it is a land unsafe for all.<br><br>a number of days ago, the king summoned the mercenary arthur. travelling with arthur are forte the magician and melody, forte's apprentice. they have been hired to seek out the renegade ninja rodi. rodi is believed to be somewhere in the desire mountain range, possibly in the deserted desire mine.<br><br>you play the role of arthur and begin the game by following the king's bidding in finding the renegade ninja. are you prepared for the threads of destiny to be unraveled? play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person rpg.",good,0.23492092860670755
14,7," Mega Man 8: Anniversary Collector&#39;s Edition for Sega Saturn, Complete CIB  ",205.5,  Very Good , Video ,3,1,2,146.44,1,mega man x4 saturn,11,video,very good,0.23978471755981445
15,8," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) CIB   ",28.4,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1,,,,,,,,
0,9," Panzer Dragoon (Sega Saturn, 1995)  ",36.44,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,1,38,51.4,1,panzer dragoon saga,1,"khourieats, or dragons, are beasts that once terrorized humans. now, your village puts them to work and has a rule that any khourieat who has a blue-white light in its throat must be put to death. you play the part of a child, one who has raised a khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>one day, during the first flight on your khourieat, your village is destroyed. it becomes another victim of the war between the imperials and the mecchanics. as the khourieat stares at the airship that bombed your village, a streak fires from its throat. not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. your adventure now begins as you head toward your village for revenge.<br><br>panzer dragoon ii zwei is a prequel as it takes place before panzer dragoon. similar to the first game, you ride on the back of a dragon who has two types of attacks. players can also still turn the dragon as they fire upon enemies. a new feature is a beserker button that can be used when a meter bar is full. when used, the dragon will fire a number of laser blasts that automatically find their target. another new option is the ability to select your path. panzer dragoon ii zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>two other new features are that the dragon can change through the course of the complete game and pandora's box. when a level is completed points will be awarded in various categories. depending on your score, your dragon may or may not morph. with a high enough score the dragon from the first panzer dragoon will become available. pandora's box is an object that will be released when particular milestones are reached. when released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want.",good,0.2240161403801102
0,10, Panzer Dragoon II Zwei (Sega Saturn)  ,39.99,  Like New ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2,1,38,51.4,1,panzer dragoon saga,1,"khourieats, or dragons, are beasts that once terrorized humans. now, your village puts them to work and has a rule that any khourieat who has a blue-white light in its throat must be put to death. you play the part of a child, one who has raised a khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>one day, during the first flight on your khourieat, your village is destroyed. it becomes another victim of the war between the imperials and the mecchanics. as the khourieat stares at the airship that bombed your village, a streak fires from its throat. not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. your adventure now begins as you head toward your village for revenge.<br><br>panzer dragoon ii zwei is a prequel as it takes place before panzer dragoon. similar to the first game, you ride on the back of a dragon who has two types of attacks. players can also still turn the dragon as they fire upon enemies. a new feature is a beserker button that can be used when a meter bar is full. when used, the dragon will fire a number of laser blasts that automatically find their target. another new option is the ability to select your path. panzer dragoon ii zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>two other new features are that the dragon can change through the course of the complete game and pandora's box. when a level is completed points will be awarded in various categories. depending on your score, your dragon may or may not morph. with a high enough score the dragon from the first panzer dragoon will become available. pandora's box is an object that will be released when particular milestones are reached. when released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want.",good,0.2240161403801102
