Cluster ID,,title,total_price,condition,details,num_images,target,canonical_,canonical_total_price,canonical_target,canonical_title,canonical_num_images,canonical_details,canonical_condition,confidence_score
31,1, Shining Force 3 - Sega Saturn - 1998 - Disc and Case - No Manual - Strategy RPG  ,66.44,  Acceptable ,,6,1,,,,,,,,
7,2, Mega Man 8: Anniversary Collector&#39;s Edition Sega Saturn Amazing Condition!  ,306.44,  Like New , Video ,8,1,2,146.44,1,mega man x4 saturn,2,"in mega man x4, under the command of sigma, general and colonel have encouraged repliforce to riot. repliforce is on a rampage and are destroying maverick hunter establishments. their overall plan is to eliminate the human race by building a weapon of mass destruction and using it to blow up earth.<br><br>the major difference in this game from previous installments of the series is that you can play as either mega man x or zero for the complete game. differences when playing with each character include sidekicks, dialogue, and slight story changes. gameplay is also different as mega man x can shoot enemies from a distance while zero uses a sword and must fight at close range.",very good,0.23628744872755547
4,3, GUARDIAN HEROES - SEGA SATURN - COMPLETE CIB with Registration Card! RARE  ,82.45,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",2,1,232,82.45,0,guardian heroes - sega saturn - complete cib with registration card! rare,2,"guardian heroes is fantasy-themed action title in the spirit of sega's hack-and-slash golden axe arcade game. choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. the story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. guardian heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players.",very good,0.965456
9,4," Shining the Holy Ark (Sega Saturn, 1997)  ",66.45,  Acceptable ,"              The kingdom of Enrich, in times past, was a prosperous realm, much wealth was being obtained from the Desire Mine. Sadly, this land is now only known as a cursed land. While the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. Roads into the land are now patrolled by the castle guard, along with the evils of the land. It is a land unsafe for all.<br><br>A number of days ago, the king summoned the mercenary Arthur. Travelling with Arthur are Forte the magician and Melody, Forte's apprentice. They have been hired to seek out the renegade ninja Rodi. Rodi is believed to be somewhere in the Desire mountain range, possibly in the deserted Desire Mine.<br><br>You play the role of Arthur and begin the game by following the king's bidding in finding the renegade ninja. Are you prepared for the threads of destiny to be unraveled? Play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person RPG. ",5,1,6,76.45,1,shining the holy ark sega saturn,2,"the kingdom of enrich, in times past, was a prosperous realm, much wealth was being obtained from the desire mine. sadly, this land is now only known as a cursed land. while the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. roads into the land are now patrolled by the castle guard, along with the evils of the land. it is a land unsafe for all.<br><br>a number of days ago, the king summoned the mercenary arthur. travelling with arthur are forte the magician and melody, forte's apprentice. they have been hired to seek out the renegade ninja rodi. rodi is believed to be somewhere in the desire mountain range, possibly in the deserted desire mine.<br><br>you play the role of arthur and begin the game by following the king's bidding in finding the renegade ninja. are you prepared for the threads of destiny to be unraveled? play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person rpg.",good,0.20496645044153294
1,5," Battle Arena Toshinden Remix (Sega Saturn, 1996) Complete!  ",19.35,  Very Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",2,1,5,13.95,1,"battle arena toshinden remix (sega saturn, 1996)",2,"battle arena toshinden remix is a port of the playstation game battle arena toshinden. it is complete with new special effects, music, and one new character, kupeed. toshinden is a martial arts tournament for which all of the fighters have gathered to participate. during the action the camera angle regularly changes. action can be viewed from a distance or close up. there are a total of ten characters in the game. eight of them are playable while the other two, gaia and sho, are bosses. story mode takes players through each character's motives for being at the tournament. along with many hand-to-hand combat special moves, each character has a weapon. weapons include swords, knives, claws, a whip, a stone club, and a spear.",very good,0.12477825570567425
9,6," Shining the Holy Ark (Sega Saturn, 1997) complete! Great shape!  ",86.44,  Very Good ,"              The kingdom of Enrich, in times past, was a prosperous realm, much wealth was being obtained from the Desire Mine. Sadly, this land is now only known as a cursed land. While the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. Roads into the land are now patrolled by the castle guard, along with the evils of the land. It is a land unsafe for all.<br><br>A number of days ago, the king summoned the mercenary Arthur. Travelling with Arthur are Forte the magician and Melody, Forte's apprentice. They have been hired to seek out the renegade ninja Rodi. Rodi is believed to be somewhere in the Desire mountain range, possibly in the deserted Desire Mine.<br><br>You play the role of Arthur and begin the game by following the king's bidding in finding the renegade ninja. Are you prepared for the threads of destiny to be unraveled? Play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person RPG. ",2,1,6,76.45,1,shining the holy ark sega saturn,2,"the kingdom of enrich, in times past, was a prosperous realm, much wealth was being obtained from the desire mine. sadly, this land is now only known as a cursed land. while the kingdom was wealthy at one time, it attracted many shadowy types from neighboring lands and released ancient magics, long since dormant. roads into the land are now patrolled by the castle guard, along with the evils of the land. it is a land unsafe for all.<br><br>a number of days ago, the king summoned the mercenary arthur. travelling with arthur are forte the magician and melody, forte's apprentice. they have been hired to seek out the renegade ninja rodi. rodi is believed to be somewhere in the desire mountain range, possibly in the deserted desire mine.<br><br>you play the role of arthur and begin the game by following the king's bidding in finding the renegade ninja. are you prepared for the threads of destiny to be unraveled? play through numerous dungeons, caves, and forests, and prepare to battle every inch of the way in this first-person rpg.",good,0.20496645044153294
7,7," Mega Man 8: Anniversary Collector&#39;s Edition for Sega Saturn, Complete CIB  ",205.5,  Very Good , Video ,3,1,2,146.44,1,mega man x4 saturn,2,"in mega man x4, under the command of sigma, general and colonel have encouraged repliforce to riot. repliforce is on a rampage and are destroying maverick hunter establishments. their overall plan is to eliminate the human race by building a weapon of mass destruction and using it to blow up earth.<br><br>the major difference in this game from previous installments of the series is that you can play as either mega man x or zero for the complete game. differences when playing with each character include sidekicks, dialogue, and slight story changes. gameplay is also different as mega man x can shoot enemies from a distance while zero uses a sword and must fight at close range.",very good,0.23628744872755547
32,8," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) CIB   ",28.4,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1,,,,,,,,
20,9," Panzer Dragoon (Sega Saturn, 1995)  ",36.44,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,1,317,51.4,0,"panzer dragoon (sega saturn, 1995)",3,"after your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. boasting a wide variety of explorable environments, panzer dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. the music should be as awe-inspiring as the surroundings as several tracks were performed by the israeli symphony orchestra.<br><br>action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. players will fend off enemies with 360 degrees of aiming ability. hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. panzer dragoon uses a 3d graphics engine and features art direction similar to the works of moebius.",like new,0.13632670404836422
22,10, &quot;Die Hard Arcade&quot; Sega Saturn 1997  ,18.45,  Good ,,1,1,127,45.4,1,die hard arcade,1,"die hard arcade takes place after the second die hard movie, die hard with a vengeance. single or multiple players may take the role of john mcclane and his female partner as they stand against a horde of terrorists to save john's wife and the president's daughter. <br><br>gamers must traverse the rooftops, galleries, and restrooms of the nakatomi corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and swat team members. die hard arcade features multiple endings as well as the sega arcade classic deep scan. completing deep scan in one try unlocks extra credits for die hard arcade.",good,0.25311628963925537
